Variable,Bin id,Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Coefficient,Points
YEARS_BEGINEXPLUATATION_MODE,2,"[0.98, 0.98)",24500,0.1,22773,1727,0.07,0.143,0.002,0.0,0.132,6.573
YEARS_BEGINEXPLUATATION_MODE,3,"[0.98, 0.99)",37422,0.152,34874,2548,0.068,0.18,0.005,0.001,0.132,6.809
YEARS_BEGINEXPLUATATION_MODE,4,"[0.99, 0.99)",16745,0.068,15649,1096,0.065,0.223,0.003,0.0,0.132,7.077
YEARS_BEGINEXPLUATATION_MODE,5,"[0.99, inf)",13342,0.054,12650,692,0.052,0.47,0.01,0.001,0.132,8.643
YEARS_BEGINEXPLUATATION_MODE,6,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,0.132,5.667
YEARS_BEGINEXPLUATATION_MODE,7,Missing,119978,0.488,108950,11028,0.092,-0.146,0.011,0.001,0.132,4.744
YEARS_BUILD_MODE,0,"(-inf, 0.68)",16979,0.069,15638,1341,0.079,0.02,0.0,0.0,-0.849,4.85
YEARS_BUILD_MODE,1,"[0.68, 0.84)",49667,0.202,46270,3397,0.068,0.175,0.006,0.001,-0.849,-1.47
YEARS_BUILD_MODE,2,"[0.84, inf)",15892,0.065,15003,889,0.056,0.39,0.008,0.001,-0.849,-10.191
YEARS_BUILD_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.849,5.667
YEARS_BUILD_MODE,4,Missing,163470,0.664,149305,14165,0.087,-0.081,0.005,0.001,-0.849,8.963
COMMONAREA_MODE,0,"(-inf, 0.02)",35393,0.144,32806,2587,0.073,0.104,0.001,0.0,-0.346,3.944
COMMONAREA_MODE,1,"[0.02, 0.06)",23102,0.094,21512,1590,0.069,0.169,0.002,0.0,-0.346,2.87
COMMONAREA_MODE,2,"[0.06, inf)",15750,0.064,14833,917,0.058,0.347,0.007,0.001,-0.346,-0.092
COMMONAREA_MODE,3,Special,0,0.0,0,0,0.0,0.0,0.0,0.0,-0.346,5.667
COMMONAREA_MODE,4,Missing,171763,0.698,157065,14698,0.086,-0.067,0.003,0.0,-0.346,6.783
ELEVATORS_MODE,0,"(-inf, 0.06)",75551,0.307,69865,5686,0.075,0.072,0.002,0.0,0.045,5.823
ELEVATORS_MODE,1,"[0.06, 0.22)",24759,0.101,23290,1469,0.059,0.327,0.009,0.001,0.045,6.37
ELEVATORS_MODE,2,"[0.22, inf)",14673,0.06,13940,733,0.05,0.509,0.013,0.002,0.045,6.761
